#Address#	#cell#	#Position#	#QDC channel#	#Pedestal#	#Count#	#Output Q#	#G#
1	10	26	61	166.84900	341.219	17.43700	70.424071082391
1	10	27	60	141.11600	312.086	17.09700	69.050888529887
1	10	28	59	140.64100	197.956	5.73150	67.989323843416
1	10	29	58	86.52660	274.735	18.82084	76.013085621971
1	10	30	57	164.21500	338.520	17.43050	70.397819063005
1	10	31	56	174.69900	344.822	17.01230	68.708804523425
2	3	0	92	182.91900	352.502	16.95830	68.490710823910
2	3	1	31	139.16200	196.565	5.74030	68.093712930012
2	3	2	18	133.07300	320.871	18.77980	75.847334410339
2	3	3	19	154.75200	341.080	18.63280	75.253634894992
2	3	4	20	152.04900	216.907	6.48580	76.937129300119
2	3	5	21	179.24100	376.756	19.75150	79.771809369952
2	3	6	22	169.63000	361.258	19.16280	77.394184168013
2	3	7	23	161.82900	346.301	18.44720	74.504038772213
2	3	8	0	195.91100	256.399	6.04880	71.753262158956
2	3	9	1	177.75400	359.298	18.15440	73.321486268175
2	3	10	2	170.30400	350.893	18.05890	72.935783521809
2	3	11	3	148.21900	207.308	5.90890	70.093712930012
2	3	12	4	137.52200	328.908	19.13860	77.296445880452
2	3	13	5	167.35300	345.231	17.78780	71.840872374798
2	3	14	6	176.97500	364.492	18.75170	75.733844911147
2	3	15	7	169.34900	360.608	19.12590	77.245153473344
2	3	16	95	174.10300	349.692	17.55890	70.916397415186
2	3	17	33	177.37300	368.561	19.11880	77.216478190630
2	3	18	34	187.40100	375.083	18.76820	75.800484652666
2	3	19	35	165.09300	346.517	18.14240	73.273021001616
2	3	20	36	191.56500	377.232	18.56670	74.986672051696
2	3	21	37	182.21300	240.699	5.84860	69.378410438909
2	3	22	38	158.66000	216.715	5.80550	68.867141162515
2	3	23	39	163.36300	220.474	5.71110	67.747330960854
2	3	24	48	161.98100	335.876	17.38950	70.232229402262
2	3	25	49	131.60800	188.145	5.65370	67.066429418743
2	3	26	50	113.18700	286.662	17.34750	70.062600969305
2	3	27	51	171.54700	340.622	16.90750	68.285541195477
2	3	28	52	168.77100	225.924	5.71530	67.797153024911
2	3	29	53	172.32600	347.667	17.53410	70.816235864297
2	3	30	54	161.84300	336.060	17.42170	70.362277867528
2	3	31	55	167.96200	345.327	17.73650	71.633683360259
2	11	0	93	174.20600	339.364	16.51580	66.703554119548
